Constituency_No,Constituency_Name,Constituency_Type,Total_Electors,Candidate_S_No,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percentage_of_Valid_Votes,Percentage_of_Total_Electors,Turnout_General,Turnout_Postal,Turnout_Total,Turnout_Percentage
6,RITHALA,GENERAL,322320,4,NOTA,,,NOTA,NOTA,1224,11,1235,0.66,0.38,186520,644,187164,58.07
6,RITHALA,GENERAL,322320,5,NEYAZ KHAN,MALE,54,GENERAL,BSP,Elephant,615,4,619,0.33,0.19,186520,644,187164,58.07
6,RITHALA,GENERAL,322320,6,ASHOK JAIN,MALE,58,GENERAL,YBRP,Bat,213,0,213,0.11,0.07,186520,644,187164,58.07
6,RITHALA,GENERAL,322320,7,VIDYA PATTI,MALE,52,GENERAL,IND,Cauliflower,167,0,167,0.09,0.05,186520,644,187164,58.07
6,RITHALA,GENERAL,322320,8,NISHTHA,FEMALE,33,SC,JMBP,Flute,154,1,155,0.08,0.05,186520,644,187164,58.07
6,RITHALA,GENERAL,322320,9,VISHAL GUPTA,MALE,43,GENERAL,IND,Rubber stamp,117,0,117,0.06,0.04,186520,644,187164,58.07
6,RITHALA,GENERAL,322320,10,AYASHA KHATOON,FEMALE,41,GENERAL,PPID,Basket containing Fruits,114,0,114,0.06,0.04,186520,644,187164,58.07
6,RITHALA,GENERAL,322320,11,AJAY KUMAR SINGH,MALE,31,GENERAL,IND,Batsman,104,0,104,0.06,0.03,186520,644,187164,58.07
6,RITHALA,GENERAL,322320,12,JITANDER SINGH,MALE,36,SC,ASSP,Gas cylinder,55,1,56,0.03,0.02,186520,644,187164,58.07
7,BAWANA,SC,385153,1,RAVINDER INDRAJ SINGH,MALE,50,SC,BJP,Lotus,118746,769,119515,52,31.03,228823,1033,229856,59.68
7,BAWANA,SC,385153,2,JAI BHAGWAN UPKAR,MALE,43,SC,AAAP,Broom,87874,166,88040,38.3,22.86,228823,1033,229856,59.68
7,BAWANA,SC,385153,3,SURENDER KUMAR,MALE,68,SC,INC,Hand,18630,83,18713,8.14,4.86,228823,1033,229856,59.68
7,BAWANA,SC,385153,4,HEERA LAL,MALE,44,SC,BSP,Elephant,1552,5,1557,0.68,0.4,228823,1033,229856,59.68
7,BAWANA,SC,385153,5,NOTA,,,NOTA,NOTA,1339,7,1346,0.59,0.35,228823,1033,229856,59.68
7,BAWANA,SC,385153,6,HARI KISHAN MECHANIC,MALE,48,SC,IND,Refrigerator,278,1,279,0.12,0.07,228823,1033,229856,59.68
7,BAWANA,SC,385153,7,DHEERAJ KUMAR,MALE,33,SC,PPID,Basket containing Fruits,216,0,216,0.09,0.06,228823,1033,229856,59.68
7,BAWANA,SC,385153,8,BABITA,FEMALE,45,SC,ASSP,Gas cylinder,188,2,190,0.08,0.05,228823,1033,229856,59.68
8,MUNDKA,GENERAL,315101,1,GAJENDER DRALL,MALE,48,GENERAL,BJP,Lotus,89128,711,89839,47.07,28.51,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,2,JASBIR KARALA,MALE,57,GENERAL,AAAP,Broom,79062,227,79289,41.54,25.16,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,3,DHARAMPAL LAKRA,MALE,66,GENERAL,INC,Hand,10241,49,10290,5.39,3.27,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,4,RAMBIR SHOKEEN,MALE,46,GENERAL,IND,Apple,8621,34,8655,4.53,2.75,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,5,NOTA,,,NOTA,NOTA,1076,12,1088,0.57,0.35,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,6,SUMAN LATA SEHRAWAT,FEMALE,49,GENERAL,BSP,Elephant,544,4,548,0.29,0.17,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,7,SUNITA SHEKHAR CHAWARIYA,FEMALE,37,GENERAL,IND,Battery Torch,408,0,408,0.21,0.13,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,8,SUNIL KUMAR,MALE,40,GENERAL,NLP,Auto-rickshaw,165,1,166,0.09,0.05,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,9,RAJNI,FEMALE,28,SC,IND,Pen stand,128,1,129,0.07,0.04,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,10,ANDEEP DRALL,MALE,37,GENERAL,IND,School bag,112,3,115,0.06,0.04,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,11,MAHAVIR,MALE,67,GENERAL,AIFB,Lion,93,1,94,0.05,0.03,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,12,YOGENDER SINGH ALIAS YOGI MATHUR,MALE,45,GENERAL,ABHSLP,Triangle,86,1,87,0.05,0.03,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,13,SANTOSH,MALE,39,GENERAL,INSAF,Whistle,84,0,84,0.04,0.03,189809,1044,190853,60.57
8,MUNDKA,GENERAL,315101,14,SANJAYA KUMAR YADAV,MALE,29,GENERAL,RTORP,Pressure cooker,61,0,61,0.03,0.02,189809,1044,190853,60.57
9,KIRARI,GENERAL,324103,1,ANIL JHA,MALE,50,GENERAL,AAAP,Broom,105660,120,105780,52.26,32.64,202100,313,202413,62.45
9,KIRARI,GENERAL,324103,2,BAJRANG SHUKLA,MALE,56,GENERAL,BJP,Lotus,83749,160,83909,41.45,25.89,202100,313,202413,62.45
9,KIRARI,GENERAL,324103,3,RAJESH KUMAR GUPTA,MALE,59,GENERAL,INC,Hand,6847,17,6864,3.39,2.12,202100,313,202413,62.45
9,KIRARI,GENERAL,324103,4,JUGBIR SINGH,MALE,73,GENERAL,BSP,Elephant,2116,12,2128,1.05,0.66,202100,313,202413,62.45
9,KIRARI,GENERAL,324103,5,NOTA,,,NOTA,NOTA,1363,3,1366,0.67,0.42,202100,313,202413,62.45
9,KIRARI,GENERAL,324103,6,MALIK NEYAZ AHMAD,MALE,50,GENERAL,ASPKR,Kettle,885,0,885,0.44,0.27,202100,313,202413,62.45
9,KIRARI,GENERAL,324103,7,PRAKASH SRIVASTAV,MALE,32,GENERAL,IND,Bat,588,0,588,0.29,0.18,202100,313,202413,62.45
9,KIRARI,GENERAL,324103,8,RAKESH,MALE,34,SC,IND,Bench,472,1,473,0.23,0.15,202100,313,202413,62.45
9,KIRARI,GENERAL,324103,9,SUDESH SHARMA,MALE,46,GENERAL,RSHTMNVP,Nagrik,212,0,212,0.1,0.07,202100,313,202413,62.45
9,KIRARI,GENERAL,324103,10,AFSANA SARWAR,FEMALE,39,GENERAL,PECP,Whistle,208,0,208,0.1,0.06,202100,313,202413,62.45
10,SULTANPUR MAJRA,SC,186990,1,MUKESH KUMAR AHLAWAT,MALE,49,SC,AAAP,Broom,58687,80,58767,52.09,31.43,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,2,KARAM SINGH KARMA,MALE,48,SC,BJP,Lotus,41549,92,41641,36.91,22.27,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,3,JAI KISHAN,MALE,66,SC,INC,Hand,8671,17,8688,7.7,4.65,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,4,KULWANT RANA,MALE,43,SC,BSP,Elephant,1882,3,1885,1.67,1.01,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,5,JITENDER,MALE,46,SC,JMBP,Flute,555,0,555,0.49,0.3,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,6,NOTA,,,NOTA,NOTA,488,6,494,0.44,0.26,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,7,DEEPAK KUMAR,MALE,40,SC,IND,Sitar,177,0,177,0.16,0.09,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,8,RAMSWAROOP SAMRIA,MALE,60,SC,IND,CCTV Camera,150,2,152,0.13,0.08,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,9,KARAN SINGH,MALE,57,SC,SBNP,Television,151,0,151,0.13,0.08,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,10,BABU LAL,MALE,72,SC,BSKRP,Diamond,91,0,91,0.08,0.05,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,11,PREETI,FEMALE,41,SC,YBRP,Bat,82,0,82,0.07,0.04,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,12,SANGEETA,FEMALE,42,SC,RLSP,Almirah,72,0,72,0.06,0.04,112625,200,112825,60.34
10,SULTANPUR MAJRA,SC,186990,13,LAXMI,FEMALE,46,SC,RPPRINAT,Coconut farm,70,0,70,0.06,0.04,112625,200,112825,60.34
11,NANGLOI JAT,GENERAL,268969,1,MANOJ KUMAR SHOKEEN,MALE,58,GENERAL,BJP,Lotus,74950,322,75272,47.25,27.99,158762,560,159322,59.23
